"objectid";"nomor_lokasi";"nama_objek";"kecamatan";"kabupaten";"provinsi";"komoditi";"status_penyelidikan";"jenis_izin";"bijih_terbukti";"logam_terbukti";"luas_wilayah";"kategori_luas";"license_status";"durasi_izin_tahun";"tanggal_berlaku_sk";"tanggal_berakhir";"latitude";"longitude";"jarak_pelabuhan_km";"jarak_jalan_km";"jarak_smelter_km"
"1291";"271000000";"Nikel Bahodopi Block 1";"BUNGKU TIMUR";"MOROWALI";"SULAWESI TENGAH";"Ni";"EKSPLORASI";"IUPK";"24000000";"218400";"22699";"Besar";"Active";"11.7";"2024-05-03";"2035-12-28";"-2.691";"121.881";"0.00";"0.00";"0.00"
"1292";"272000000";"Nikel Bahodopi Block 2,3 & 4";"BUNGKU TIMUR";"MOROWALI";"SULAWESI TENGAH";"Ni";"EKSPLORASI";"IUPK";"0";"0";"22699";"Besar";"Active";"11.7";"2024-05-03";"2035-12-28";"-2.694";"121.91";"0.00";"0.00";"0.00"
"1293";"273000000";"Nikel Bahomoahi";"BAHODOPI";"MOROWALI";"SULAWESI TENGAH";"Ni";"OPERASI PRODUKSI";"IUP";"202719110";"249802896770";"20765";"Besar";"Active";"4.6";"2022-12-30";"2027-07-20";"-2.698";"121.975";"24.33";"0.22";"7.36"
"1294";"274000000";"Nikel Molino";"PETASIA TIMUR";"MOROWALI UTARA";"SULAWESI TENGAH";"Ni";"OPERASI PRODUKSI";"IUP";"33500000";"391615";"4778";"Menengah";"Active";"18.1";"2012-01-05";"2030-01-28";"-2.149";"121.479";"23.37";"0.01";"28.80"
"1296";"278000000";"Nikel Soroako West Block";"NUHA";"LUWU TIMUR";"SULAWESI SELATAN";"Ni";"OPERASI PRODUKSI";"IUPK";"2694000000";"1555750";"70566";"Besar";"Active";"11.7";"2024-05-03";"2035-12-28";"-2.56";"121.355";"31.16";"0.05";"2.82"
"1297";"279000000";"Nikel Soroako East Block";"NUHA";"LUWU TIMUR";"SULAWESI SELATAN";"Ni";"OPERASI PRODUKSI";"IUPK";"0";"0";"70566";"Besar";"Active";"11.7";"2024-05-03";"2035-12-28";"-2.56";"121.393";"35.23";"0.34";"2.00"
"1298";"280000000";"Nikel Petea";"TOWUTI";"LUWU TIMUR";"SULAWESI SELATAN";"Ni";"EKSPLORASI RINCI";"IUPK";"0";"0";"70566";"Besar";"Active";"11.7";"2024-05-03";"2035-12-28";"-2.518";"121.535";"0.00";"0.00";"0.00"
"1299";"281000000";"Nikel Limonite Sorowako";"TOWUTI";"LUWU TIMUR";"SULAWESI SELATAN";"Ni";"EKSPLORASI";"IUPK";"0";"0";"70566";"Besar";"Active";"11.7";"2024-05-03";"2035-12-28";"-2.617";"121.386";"0.00";"0.00";"0.00"
"1300";"282000000";"Nikel Soroako Outer SOA";"TOWUTI";"LUWU TIMUR";"SULAWESI SELATAN";"Ni";"EKSPLORASI";"IUPK";"0";"0";"70566";"Besar";"Active";"11.7";"2024-05-03";"2035-12-28";"-2.675";"121.715";"0.00";"0.00";"0.00"
"1301";"283000000";"Nikel Desa Harapan dan Desa Pongkeru";"MALILI";"LUWU TIMUR";"SULAWESI SELATAN";"Ni";"OPERASI PRODUKSI";"IUP";"74580000";"9148027";"2660";"Menengah";"Active";"11.3";"2018-07-06";"2029-11-03";"-2.788";"121.153";"11.00";"0.43";"34.74"
