"port_id";"name";"province";"unlcode";"latitude";"longitude";"vessel_in_port";"expected_arrival";"recent_port_calls";"type"
"1";"JAMPEA";"SULAWESI SELATAN";NULL;"-7.0581";"120.61";"0";"0";"0";"PORT "
"2";"BENTENG";"SULAWESI SELATAN";NULL;"-6.1166";"120.451";"0";"0";"0";"PORT"
"3";"MAKASSAR ANCH";"SULAWESI SELATAN";NULL;"-5.1195";"119.363";"17";"0";"22";"ANCHORAGE"
"4";"MAKASSAR";"SULAWESI SELATAN";"IDMAK";"-5.1236";"119.418";"29";"13";"29";"PORT"
"5";"BIRINGKASSI ANCH";"SULAWESI SELATAN";NULL;"-4.8226";"119.463";"9";"0";"3";"ANCHORAGE"
"6";"BIRINGKASSI";"SULAWESI SELATAN";"IDBIR";"-4.8173";"119.483";"5";"1";"1";"PORT"
"7";"BAJOE";"SULAWESI SELATAN";NULL;"-4.5457";"120.405";"0";"0";"0";"PORT"
"8";"GARONGKONG";"SULAWESI SELATAN";NULL;"-4.3684";"119.612";"0";"1";"0";"PORT"
"9";"GARONGKONG ANCH";"SULAWESI SELATAN";NULL;"-4.3606";"119.601";"1";"0";"0";"ANCHORAGE"
"10";"PAREPARE";"SULAWESI SELATAN";"IDPAP";"-4.0091";"119.626";"1";"3";"2";"PORT"
"11";"PALOPO";"SULAWESI SELATAN";"IDPPO";"-3.0448";"120.248";"0";"0";"1";"PORT"
"12";"PALOPO ANCH";"SULAWESI SELATAN";NULL;"-3.0457";"120.337";"1";"0";"1";"ANCHORAGE"
"13";"MALILI";"SULAWESI SELATAN";"IDMLI";"-2.6406";"121.087";"0";"2";"0";"PORT"
"14";"MALILI ANCH";"SULAWESI SELATAN";NULL;"-2.7144";"121.032";"0";"0";"0";"ANCHORAGE"
"15";"MANGKASA";"SULAWESI SELATAN";NULL;"-2.7392";"121.067";"0";"0";"0";"PORT"
"16";"MANGKASA ANCH";"SULAWESI SELATAN";NULL;"-2.7462";"121.04";"0";"0";"0";"ANCHORAGE"
"17";"KOLAKA";"SULAWESI TENGGARA";"IDKOL";"-4.0555";"121.578";"0";"1";"1";"PORT"
"18";"KOLAKA ANCH";"SULAWESI TENGGARA";NULL;"-4.0679";"121.544";"0";"0";"0";"ANCHORAGE"
"19";"POMALAA ANCH";"SULAWESI TENGGARA";NULL;"-4.1589";"121.584";"0";"0";"0";"ANCHORAGE"
"20";"POMALAA";"SULAWESI TENGGARA";"IDPUM";"-4.1746";"121.598";"0";"1";"0";"PORT"
"21";"BATU PUTIH";"SULAWESI TENGGARA";NULL;"-4.7929";"121.628";"0";"1";"0";"PORT"
"22";"BAUBAU";"SULAWESI TENGGARA";"IDBUW";"-5.4578";"122.595";"2";"8";"9";"PORT"
"23";"RAHA";"SULAWESI TENGGARA";"IDRAQ";"-4.835";"122.735";"0";"0";"0";"PORT"
"24";"KENDARI";"SULAWESI TENGGARA";"IDKDI";"-3.9778";"122.588";"40";"9";"55";"PORT"
"25";"BAHUDOPI";"SULAWESI TENGAH";"IDBAH";"-2.8077";"122.165";"6";"50";"1";"PORT"
"26";"TANJUNG MERPATI";"SULAWESI TENGAH";NULL;"-1.9976";"121.442";"4";"0";"3";"PORT"
"27";"MIGAS LNG BATUI";"SULAWESI TENGAH";NULL;"-1.2564";"122.586";"4";"0";"0";"PORT"
"28";"LUWUK";"SULAWESI TENGAH";"IDLUW";"-0.9496";"122.799";"0";"4";"0";"PORT"
"29";"LUWUK ANCH";"SULAWESI TENGAH";NULL;"-1.0328";"122.898";"0";"0";"0";"ANCHORAGE"
"30";"PAGIMANA";"SULAWESI TENGAH";"IDPGM";"-0.7939";"122.659";"0";"0";"0";"PORT"
"31";"BANGGAI";"SULAWESI TENGAH";"IDBGG";"-1.5904";"123.497";"0";"0";"0";"PORT"
"32";"BAKAU";"SULAWESI TENGAH";NULL;"-1.1352";"119.39";"0";"0";"0";"PORT"
"33";"PANTOLOAN";"SULAWESI TENGAH";"IDPTL";"-0.7134";"119.855";"1";"2";"7";"PORT"
"34";"TOLITOLI";"SULAWESI TENGAH";"IDTLI";"1.0421";"120.805";"0";"0";"0";"PORT"
"35";"TOLITOLI ANCH";"SULAWESI TENGAH";NULL;"1.0385";"120.789";"0";"0";"0";"ANCHORAGE"
"36";"GORONTALO";"GORONTALO";"IDGTO";"0.5042";"123.061";"0";"2";"0";"PORT"
"37";"ANGGREK";"GORONTALO";"IDAGR";"0.8609";"122.797";"0";"0";"0";"PORT"
"38";"LABUAN UKI";"GORONTALO";NULL;"0.8542";"123.933";"0";"0";"0";"PORT"
"39";"AMURANG";"SULAWESI UTARA";"IDTZD";"1.1935";"124.568";"0";"1";"1";"PORT"
"40";"MANADO";"SULAWESI UTARA";"IDMDC";"1.4933";"124.836";"0";"0";"0";"PORT"
"41";"LIKUPANG";"SULAWESI UTARA";NULL;"1.7008";"125.016";"1";"1";"1";"PORT"
"42";"BITUNG";"SULAWESI UTARA";"IDBIT";"1.4365";"125.19";"24";"7";"31";"PORT"
"43";"BITUNG ANCH";"SULAWESI UTARA";NULL;"1.4136";"125.166";"19";"0";"30";"ANCHORAGE"
"44";"MELOGUANNE";"SULAWESI UTARA";"IDMNA";"4";"126.683";"0";"0";"2";"PORT"
"45";"KISAR";"MALUKU";NULL;"-8.0794";"127.148";"0";"0";"0";"PORT"
"46";"LETI";"MALUKU";NULL;"-0.1685";"127.663";"0";"0";"0";"PORT"
"47";"SAUMLAKI";"MALUKU";"IDSXK";"-7.9829";"131.295";"2";"1";"3";"PORT"
"48";"SAUMLAKI ANCH";"MALUKU";NULL;"-7.9875";"131.273";"1";"0";"2";"ANCHORAGE"
"49";"DOBO";"MALUKU";"IDDOB";"-5.7524";"134.212";"0";"0";"0";"PORT"
"50";"TUAL";"MALUKU";"IDTUA";"-5.6351";"132.741";"12";"5";"9";"PORT"
"51";"TUAL ANCH";"MALUKU";NULL;"-5.5965";"132.741";"4";"0";"4";"ANCHORAGE"
"52";"BANDA NEIRA";"MALUKU";"IDNDA";"-4.5248";"129.897";"0";"2";"0";"PORT"
"53";"BULA";"MALUKU";"IDBUA";"-3.099";"130.503";"0";"0";"0";"PORT"
"54";"KOBI SADAR";"MALUKU";NULL;"-2.908";"129.812";"0";"1";"0";"PORT"
"55";"MASOHI";"MALUKU";NULL;"-3.2956";"128.953";"0";"0";"0";"PORT"
"56";"AMAHAI";"MALUKU";"IDAHI";"-3.3386";"128.921";"1";"0";"1";"PORT"
"57";"AMBON";"MALUKU";"IDAMQ";"-3.6886";"128.181";"6";"3";"19";"PORT"
"58";"AMBON ANCH";"MALUKU";NULL;"-3.678";"128.15";"7";"0";"11";"ANCHORAGE"
"59";"WAYAME";"MALUKU";NULL;"-3.6651";"128.174";"7";"4";"11";"PORT"
"60";"NAMROLE";"MALUKU";"IDNRE";"-3.852";"126.726";"0";"0";"0";"PORT"
"61";"TIFU";"MALUKU";NULL;"-3.7132";"126.4";"0";"0";"0";"PORT"
"62";"NAMLEA";"MALUKU";"IDNAM";"-3.2778";"127.088";"0";"1";"2";"PORT"
"63";"OBI ISLAND";"MALUKU UTARA";"IDOBI";"-1.5513";"127.401";"21";"15";"39";"PORT"
"64";"JIKOTAMO";"MALUKU UTARA";NULL;"-1.3413";"127.656";"0";"0";"0";"PORT"
"65";"KUPAL";"MALUKU UTARA";NULL;"-0.6679";"127.473";"0";"0";"0";"PORT"
"66";"LABUHA";"MALUKU UTARA";"IDLAH";"-0.6318";"127.479";"0";"0";"0";"PORT"
"67";"BABANG";"MALUKU UTARA";NULL;"-0.6252";"127.605";"1";"0";"0";"PORT"
"68";"GEBE";"MALUKU UTARA";"IDGEB";"-0.1095";"129.445";"4";"3";"2";"OFFSHORE_TERMINAL"
"69";"WEDA";"MALUKU UTARA";"IDWEB";"0.327";"127.874";"0";"0";"0";"PORT"
"70";"TERNATE";"MALUKU UTARA";"IDTTE";"0.7794";"127.387";"2";"5";"11";"PORT"
"71";"TERNATE ANCH";"MALUKU UTARA";NULL;"0.7937";"127.409";"0";"0";"1";"ANCHORAGE"
"72";"TANJUNG BULI";"MALUKU UTARA";"IDTBU";"0.8273";"128.259";"1";"0";"1";"PORT"
"73";"TOBELO";"MALUKU UTARA";"IDTBO";"1.7258";"128.017";"0";"0";"0";"PORT"
"74";"GALELA";"MALUKU UTARA";"IDGLX";"1.8252";"127.848";"0";"1";"0";"PORT"
