objectid,nomor_lokasi,nama_objek,kecamatan,kabupaten,provinsi,komoditi,status_penyelidikan,jenis_izin,bijih_terbukti,logam_terbukti,luas_wilayah,kategori_luas,license_status,durasi_izin_tahun,tanggal_berlaku_sk,tanggal_berakhir_sk,latitude,longitude,jarak_pelabuhan_km,jarak_jalan_km,jarak_smelter_km,kategori_akses_pelabuhan,produksi_tahunan_ton,produksi_aktual_harian_ton,target_produksi_harian_ton,pencapaian_pct,status_pencapaian,biaya_penambangan_per_ton,biaya_pengangkutan_per_ton,biaya_penanganan_pelabuhan_per_ton,biaya_pemrosesan_smelter_per_ton,aisc_per_ton,pct_biaya_penambangan,pct_biaya_smelter,pct_biaya_angkut,pct_biaya_pelabuhan,jenis_kontrak,pembeli_offtaker,harga_nikel_historis_per_ton,nilai_tukar_rp_usd,capex_opex,margin_kotor_per_ton,status_profitabilitas,jumlah_ekskavator,jumlah_truk_tambang,konsumsi_bbm_liter,jam_downtime,ketersediaan_fisik_pa_pct,penggunaan_ketersediaan_ua_pct,ton_per_ekskavator,ton_per_truk,jumlah_insiden,indikator_fatalitas,ltifr,trifr,kategori_k3
1301,283000000,Nikel Desa Harapan dan Desa Pongkeru,MALILI,LUWU TIMUR,SULAWESI SELATAN,Nikel,OPERASI PRODUKSI,IUP,74580000,9148027,2660.0,Menengah (1000-5000 Ha),Active,11.3,2018-07-06,2029-11-03,-2.788,121.153,10999.27,427.61,34735.39,Jauh (>150 km),633876,5665,5457,103.81,Tercapai,241495,80806,77342,712769,1112412,21.7,64.1,7.3,7.0,FOB Motorship,PT IWIP,263562245,15911,OPEX,262449833,Profitable,18,39,21266,27.3,89.13,88.21,35215.0,16253.0,1,Tidak,0.36,2.21,Perlu Perhatian
1299,281000000,Nikel Limonite Sorowako,TOWUTI,LUWU TIMUR,SULAWESI SELATAN,Nikel,EKSPLORASI,IUPK,0,0,70566.0,Besar (>5000 Ha),Active,11.7,2024-05-03,2035-12-28,-2.617,121.386,24412.79,590.46,19801.43,Jauh (>150 km),1660934,3498,3782,92.49,Hampir Tercapai,267371,91225,72978,471164,902738,29.6,52.2,10.1,8.1,CIF,PT GNI,344250926,15541,CAPEX,343348188,Profitable,25,44,16732,26.0,86.02,74.05,66437.0,37749.0,1,Tidak,0.38,1.58,Perlu Perhatian
1453,1921000000,Nikel Soroako-Petea HPAL,WASUPONDA,LUWU TIMUR,SULAWESI SELATAN,Nikel,EKSPLORASI,IUPK,0,0,70566.0,Besar (>5000 Ha),Active,11.7,2024-05-03,2035-12-28,-2.642,121.242,24412.79,590.46,19801.43,Jauh (>150 km),1481857,3047,3232,94.28,Hampir Tercapai,247079,78958,62833,579756,968626,25.5,59.9,8.2,6.5,CIF,PT Aneka Tambang,297510835,15583,CAPEX,296542209,Profitable,18,54,17207,5.2,85.39,80.84,82325.0,27442.0,2,Tidak,0.29,0.51,Aman
1485,2136000000,Nikel Ussu,MALILI,LUWU TIMUR,SULAWESI SELATAN,Nikel,OPERASI PRODUKSI,IUP,22443750,2854271728,1419.0,Menengah (1000-5000 Ha),Active,20.0,2011-04-18,2031-04-18,-2.571,121.075,7801.66,1707.93,33707.76,Jauh (>150 km),1158317,2605,2822,92.31,Hampir Tercapai,321272,125964,48910,645243,1141389,28.1,56.5,11.0,4.3,FOB Motorship,PT IMIP,281917397,15809,CAPEX,280776008,Profitable,16,66,23714,40.4,89.5,84.03,72395.0,17550.0,1,Tidak,0.43,1.8,Perlu Perhatian
1634,2816000000,Nikel Blok Pongkeru dan Blok Harapan,MALILI,LUWU TIMUR,SULAWESI SELATAN,Nikel,OPERASI PRODUKSI,IUP,0,0,303.0,Kecil (<1000 Ha),Active,10.0,2021-09-10,2031-09-17,-2.7885,121.153,11026.5,449.86,34773.73,Jauh (>150 km),1149522,3588,3911,91.74,Hampir Tercapai,258827,65303,39990,539070,903190,28.7,59.7,7.2,4.4,Spot Contract,PT IMIP,294606097,16044,OPEX,293702907,Profitable,25,65,13068,19.9,85.25,89.06,45981.0,17685.0,0,Tidak,0.15,2.15,Perlu Perhatian
1571,2549000000,Nikel Malili,MALILI,LUWU TIMUR,SULAWESI SELATAN,Nikel,OPERASI PRODUKSI,IUP,0,0,3000.0,Menengah (1000-5000 Ha),Active,20.0,2018-01-23,2038-01-23,-2.629,121.138,5868.82,364.06,27488.92,Jauh (>150 km),1787896,3452,3822,90.32,Hampir Tercapai,331696,73067,72586,405649,882998,37.6,45.9,8.3,8.2,Spot Contract,PT GNI,275593908,15680,CAPEX,274710910,Profitable,23,41,11237,44.5,87.15,82.2,77735.0,43607.0,2,Tidak,0.44,0.75,Perlu Perhatian
1296,278000000,Nikel Soroako West Block,NUHA,LUWU TIMUR,SULAWESI SELATAN,Nikel,OPERASI PRODUKSI,IUPK,2694000000,1555750,70566.0,Besar (>5000 Ha),Active,11.7,2024-05-03,2035-12-28,-2.56,121.355,31160.47,45.12,2820.24,Jauh (>150 km),628918,2369,2608,90.84,Hampir Tercapai,386968,74998,69265,429379,960610,40.3,44.7,7.8,7.2,CIF,PT Vale Indonesia,337055296,15743,CAPEX,336094686,Profitable,12,58,24885,21.8,94.43,75.1,52410.0,10843.0,1,Tidak,0.36,0.55,Perlu Perhatian
1297,279000000,Nikel Soroako East Block,NUHA,LUWU TIMUR,SULAWESI SELATAN,Nikel,OPERASI PRODUKSI,IUPK,0,0,70566.0,Besar (>5000 Ha),Active,11.7,2024-05-03,2035-12-28,-2.56,121.393,35230.48,342.28,2001.53,Jauh (>150 km),1546052,1383,1493,92.63,Hampir Tercapai,365919,140579,42084,771067,1319649,27.7,58.4,10.7,3.2,CIF,PT Vale Indonesia,349940892,15677,OPEX,348621243,Profitable,24,37,15697,30.4,94.21,82.51,64419.0,41785.0,0,Tidak,0.4,0.22,Perlu Perhatian
1298,280000000,Nikel Petea,TOWUTI,LUWU TIMUR,SULAWESI SELATAN,Nikel,EKSPLORASI RINCI,IUPK,0,0,70566.0,Besar (>5000 Ha),Active,11.7,2024-05-03,2035-12-28,-2.518,121.535,24412.79,590.46,19801.43,Jauh (>150 km),802204,1835,2021,90.8,Hampir Tercapai,389590,144447,59491,642054,1235582,31.5,52.0,11.7,4.8,FOB Motorship,PT Aneka Tambang,258491609,15742,CAPEX,257256027,Profitable,25,58,16906,17.2,94.6,76.41,32088.0,13831.0,1,Tidak,0.33,0.31,Perlu Perhatian
1300,282000000,Nikel Soroako Outer SOA,TOWUTI,LUWU TIMUR,SULAWESI SELATAN,Nikel,EKSPLORASI,IUPK,0,0,70566.0,Besar (>5000 Ha),Active,11.7,2024-05-03,2035-12-28,-2.675,121.715,24412.79,590.46,19801.43,Jauh (>150 km),641266,5270,5330,98.87,Hampir Tercapai,204890,100020,60933,505829,871672,23.5,58.0,11.5,7.0,FOB Motorship,PT IWIP,321868967,15503,CAPEX,320997295,Profitable,17,46,10222,12.2,89.12,89.52,37722.0,13941.0,2,Ya,0.42,1.95,Kritis
