Kecamatan,Kabupaten,Nama objek,Nomor Lokasi Keterdapatan,Komoditi,Kode Unsur,Kelompok Mineral Logam,Lokasi Keterdapatan,Provinsi,Status Penyelidikan Mineral Logam,Bijih Terbukti (Ton),Logam Terbukti (Ton),keterangan,acuan,objectid,longitude,latitude,Jenis Izin,Lokasi Tambang,Luas Wilayah,Tanggal Berakhir SK,Tanggal Berlaku SK,Mine_port(meter),Mine_road(meter),Mine_Smelter(meter),License_Duration_Years,License_Status
Malili,Luwu Timur,Nikel Desa Harapan dan Desa Pongkeru,283000000,Nikel,Ni,Logam Besi dan Paduan Besi,Desa Harapan dan Desa Pongkeru,Sulawesi Selatan,Operasi Produksi,74580000,9148027,"Blok Kande Api Baru, Kande Api Lama, Landau, KM 17","PT Citra Lampia Mandiri, Laporan RKAB Tahun 2022",1301,121.153,-2.788,IUP,Desa Harapan Kec Malili Kab Luwu Timur,2660.0,2029-11-03,2018-07-06,10999.274,427.609,34735.389,11.336986301369864,Active
Towuti,Luwu Timur,Nikel Limonite Sorowako,281000000,Nikel,Ni,Logam Besi dan Paduan Besi,Limonite Sorowako,Sulawesi Selatan,Eksplorasi,0,0,"Kadar Ni 1,38%","PT INCO, RKAB 2012, Data Sumber Daya dan Cadangan per September 2011",1299,121.386,-2.617,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566.0,2035-12-28,2024-05-03,,,,11.66027397260274,Active
Wasuponda,Luwu Timur,Nikel Soroako-Petea HPAL,1921000000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako-Petea HPAL,Sulawesi Selatan,Eksplorasi,0,0,Saprolit,"PT INCO, RKAB 2012, Data Sumber Daya dan Cadangan per September 2011",1453,121.242,-2.642,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566.0,2035-12-28,2024-05-03,,,,11.66027397260274,Active
Malili,Luwu Timur,Nikel Ussu,2136000000,Nikel,Ni,Logam Besi dan Paduan Besi,Ussu,Sulawesi Selatan,Operasi Produksi,22443750,2854271728,Blok C dan Blok DEF,"PT Prima Utama Lestari, Laporan Sumber Daya dan Cadangan Tahun 2019",1485,121.075,-2.571,IUP,"Desa Ussu, Kec. Malili, Kab.Luwu Timur",1419.0,2031-04-18,2011-04-18,7801.659,1707.929,33707.756,20.013698630136986,Active
Malili,Luwu Timur,Nikel Blok Pongkeru dan Blok Harapan,2816000000,Nikel,Ni,Logam Besi dan Paduan Besi,Blok Pongkeru dan Blok Harapan,Sulawesi Selatan,Operasi Produksi,0,0,"2 blok, kadar Ni 0,6% s.d. 3,1%","PT Sumber Wahau Jaya, Laporan RKAB Tahun 2020",1634,121.153,-2.7885,IUP,Desa Harapan dan Pongkeru. Kec malili,303.0,2031-09-17,2021-09-10,11026.502,449.858,34773.727,10.024657534246575,Active
Malili,Luwu Timur,Nikel Malili,2549000000,Nikel,Ni,Logam Besi dan Paduan Besi,Malili,Sulawesi Selatan,Operasi Produksi,0,0,Limonit-Saprolit,"PT Tiga Samudera Perkasa, Laporan Eksplorasi Tahun 2016 (Tabulasi Dinas ESDM Provinsi)",1571,121.138,-2.629,IUP,"Malili, Luwu Timur",3000.0,2038-01-23,2018-01-23,5868.821,364.056,27488.922,20.013698630136986,Active
Nuha,Luwu Timur,Nikel Soroako West Block,278000000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako West Block,Sulawesi Selatan,Operasi Produksi,2694000000,1555750,Bijih kering,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1296,121.355,-2.56,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566.0,2035-12-28,2024-05-03,31160.467,45.123,2820.245,11.66027397260274,Active
Nuha,Luwu Timur,Nikel Soroako East Block,279000000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako East Block,Sulawesi Selatan,Operasi Produksi,0,0,-,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1297,121.393,-2.56,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566.0,2035-12-28,2024-05-03,35230.483,342.276,2001.533,11.66027397260274,Active
Towuti,Luwu Timur,Nikel Petea,280000000,Nikel,Ni,Logam Besi dan Paduan Besi,Petea,Sulawesi Selatan,Eksplorasi Rinci,0,0,Saprolit,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1298,121.535,-2.518,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566.0,2035-12-28,2024-05-03,,,,11.66027397260274,Active
Towuti,Luwu Timur,Nikel Soroako Outer SOA,282000000,Nikel,Ni,Logam Besi dan Paduan Besi,Soroako Outer SOA,Sulawesi Selatan,Eksplorasi,0,0,-,"PT Vale, Laporan RKAB Tahun 2020 (Tabulasi Ditjen Minerba)",1300,121.715,-2.675,IUPK,Blok Soroako. Kab. Luwu timur dan Kab. Morowali,70566.0,2035-12-28,2024-05-03,,,,11.66027397260274,Active
Petasia,Morowali Utara,Nikel Ganda ganda,1374000000,Nikel,Ni,Logam Besi dan Paduan Besi,Ganda ganda,Sulawesi Tengah,Eksplorasi,0,0,-,"CV Rezky Utama, Persetujuan Laporan RKAB Tahun 2021",1394,121.3467,-1.8921,IUP ,"Desa Ganda-Ganda Kec. Petasia, Morowali",200.0,2032-04-12,2012-04-19,,,,19.994520547945207,Active
Sayo Jaya,Morowali Utara,Nikel Towi,2860000000,Nikel,Ni,Logam Besi dan Paduan Besi,Towi,Sulawesi Tengah,Operasi Produksi,15300000,189567,-,"CV Surya Amindo Perkasa, Laporan RKAB Tahun 2021",1657,121.341,-1.8607,IUP ,Desa Towi Kec. Soyo Jaya,160.0,2031-03-25,2010-03-24,11459.512,425.683,9266.777,21.016438356164382,Active
Wita Ponda,Morowali,Nikel Solonsa,2576000000,Nikel,Ni,Logam Besi dan Paduan Besi,Solonsa,Sulawesi Tengah,Operasi Produksi,534869825,51294016218,Blok A-D,"PT Alaska Dwipa Perdana, Laporan RKAB Tahun 2019 (Tabulasi Dinas ESDM Provinsi)",1598,121.542,-2.223,IUP,"Desa Solonsa, Solonsa Jaya dan Ungkaya Kec. Wita Ponda, Kab. Morowali",480.0,2029-10-16,2010-10-16,27275.631,1787.489,39563.219,19.013698630136986,Active
Bahodopi,Morowali,Nikel Keurea,1381000000,Nikel,Ni,Logam Besi dan Paduan Besi,Keurea,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Ang & fang Brothers, 2013",1401,122.102,-2.795,IUP,Desa Lalampu Kec. Bahodopi,775.0,2032-04-19,2022-02-16,7111.484,51.944,1880.686,10.178082191780822,Active
Bahodopi,Morowali,Nikel Lalampu 1,2574000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lalampu 1,Sulawesi Tengah,Operasi Produksi,0,0,-,"PT Ang and Fang Brothers (119 ha), Laporan RKAB Tahun 2022",1596,122.1025,-2.7957,IUP,Desa Lalampu Kec. Bahodopi,775.0,2032-04-19,2022-02-16,7041.997,14.482,1925.175,10.178082191780822,Active
Bungku Selatan,Morowali,Nikel Lalampu 2,2805000000,Nikel,Ni,Logam Besi dan Paduan Besi,Lalampu 2,Sulawesi Tengah,Operasi Produksi,0,0,"Blok I dan Blok III, kadar Ni 0,4% s.d. 1,2%, 1,2 s.d. 1,8%, 1,8 s.d. 2,4%","PT Ang and Fang Brothers (576 ha), Laporan RKAB Tahun 2022",1623,122.0757,-2.8126,IUP,Desa Lalampu Kec. Bahodopi,775.0,2032-04-19,2022-02-16,9910.423,888.488,1963.137,10.178082191780822,Active
Pagimana,Banggai,Nikel Longgona Barat,1366000000,Nikel,Ni,Logam Besi dan Paduan Besi,Longgona Barat,Sulawesi Tengah,Operasi Produksi,0,0,Blok Bualemo,"PT Anugerah Sumber Bumi, Laporan Revisi RKAB Tahun 2020",1386,122.605,-0.812,IUP,Kecamatan Bualemo,199.0,2032-03-22,2023-01-30,6301.642,35.417,189780.634,9.147945205479452,Active
Bualemo,Banggai,Nikel Longkoga Barat 1,2536000000,Nikel,Ni,Logam Besi dan Paduan Besi,Longkoga Barat 1,Sulawesi Tengah,Operasi Produksi,0,0,Blok Bolaemo dan Blok Siuna,"PT Anugrah Bangun Makmur, Laporan RKAB Tahun 2020",1558,123.0335,-0.6975,IUP,"Kec. Pagimana, Banggai",4335.0,,2017-04-19,38503.994,2700.904,235028.231,,Expired
Toili,Banggai,Nikel Singkoyo,2537000000,Nikel,Ni,Logam Besi dan Paduan Besi,Singkoyo,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,27%","PT Anugrah Bumi Gemilang, Laporan RKAB Tahun 2020",1559,122.3216,-1.4162,IUP,"Kec Toili dan Toili Barat, Kab. Banggai",4100.0,2035-05-15,2015-09-02,34303.648,148.311,125555.795,19.71232876712329,Active
Toili Barat,Banggai,Nikel Piondo,2538000000,Nikel,Ni,Logam Besi dan Paduan Besi,Piondo,Sulawesi Tengah,Operasi Produksi,0,0,"Laterit wmt, kadar Ni 1,28%","PT Anugrah Bumi Gemilang, Laporan RKAB Tahun 2020",1560,122.246,-1.4652,IUP,"Kec Toili dan Toili Barat, Kab. Banggai",4100.0,2035-05-15,2015-09-02,44306.751,20.707,115593.22,19.71232876712329,Active
